Time (UTC),Actual_Load_MW,mean_global_radiation,mean_wind_speed,precipitation_mm,temperature_2m_C,is_public_holiday,is_weekend,is_special_day,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos
2023-01-01 00:15:00+00:00,57.16372788,0.0,0.9,0.0,-0.4,1,1,1,0.06540312923014306,0.9978589232386035,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 00:30:00+00:00,51.99782836,0.0,1.05,0.0,-0.35,1,1,1,0.13052619222005157,0.9914448613738104,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 00:45:00+00:00,46.59947899,0.0,0.5,0.0,-0.6,1,1,1,0.19509032201612825,0.9807852804032304,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 01:00:00+00:00,46.29416593,0.0,0.7,0.0,-0.8,1,1,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 01:15:00+00:00,40.60031353,0.0,0.7,0.0,-1.1,1,1,1,0.3214394653031616,0.9469301294951057,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 01:30:00+00:00,38.49431447,0.0,0.65,0.0,-0.95,1,1,1,0.3826834323650898,0.9238795325112867,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 01:45:00+00:00,35.0,0.0,1.3,0.0,-0.6,1,1,1,0.44228869021900125,0.8968727415326884,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 02:00:00+00:00,36.26205159,0.0,1.15,0.0,-0.75,1,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 02:15:00+00:00,35.0,0.0,0.9,0.0,-0.8,1,1,1,0.5555702330196022,0.8314696123025452,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 02:30:00+00:00,38.85413428,0.0,1.1,0.0,-0.95,1,1,1,0.6087614290087207,0.7933533402912352,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 02:45:00+00:00,37.58556237,0.0,0.7,0.0,-1.1,1,1,1,0.6593458151000688,0.7518398074789774,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 03:00:00+00:00,35.41260757,0.0,0.85,0.0,-1.2,1,1,1,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 03:15:00+00:00,39.32397428,0.0,0.4,0.0,-1.6,1,1,1,0.7518398074789774,0.6593458151000688,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 03:30:00+00:00,35.0,0.0,0.45,0.0,-1.25,1,1,1,0.7933533402912352,0.6087614290087207,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 03:45:00+00:00,35.17507051,0.0,0.5,0.0,-1.4,1,1,1,0.8314696123025451,0.5555702330196024,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 04:00:00+00:00,35.0,0.0,0.9,0.0,-1.15,1,1,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 04:15:00+00:00,35.88090759,0.0,1.2,0.0,-0.9,1,1,1,0.8968727415326884,0.44228869021900125,-0.7818314824680299,0.6234898018587334,0.0,1.0
2023-01-01 04:30:00+00:00,37.92904583,0.0,0.95,0.0,-0.9,1,1,1,0.9238795325112867,0.38268343236508984,-0.7818314824680299,0.6234898018587334,0.0,1.0
