model,variant,n_rows,mean_final_score,mean_compute_only,mean_compute_latency,mean_RMSE_ratio,median_RMSE_ratio,mean_latency_ms,median_latency_ms,mean_train_cpu_sec,mean_infer_cpu_sec,mean_peak_ram_mb,mean_deploy_params,pareto_share,tag,overall_rank,compute_rank,compute_latency_rank,latency_rank
CNN,baseline,6,0.2310327533481341,0.3628993457209642,0.6814496728604821,0.3392310788134452,0.31905341940881793,0.9991572726233441,0.997883263369105,1681.5249999999999,11.153333333333231,1012.9986979166666,57626.0,0.5,CNN (baseline),1,1,3,3
LSTM,baseline,12,0.3481957099769519,0.447358923746135,0.30840221228209014,0.3481860038915965,0.33205220424346793,0.8549804256773021,0.8454911824695412,2032.2583333333332,11.115833333333418,1488.4342447916667,131010.5,1.0,LSTM (baseline),2,2,1,1
dCeNN+ELM,raw,6,0.9000217987734879,0.6667393292449596,0.5833696646224799,5.6260992107107555,0.8321547545654332,0.9338850619816293,0.9192798731278476,8037.781666666667,7.818333333332855,1509.2024739583333,1672192.0,0.5,dCeNN+ELM (raw),3,3,2,2
