task,lookback,horizon,MAE,RMSE,sMAPE,BASE_MAE,BASE_RMSE,BASE_sMAPE,Params,Train_Wall_Sec,Train_CPU_Sec,Avg_CPU_Usage_Pct,Peak_RAM_MB,Infer_Wall_Sec,Infer_CPU_Sec,Infer_Avg_CPU_Pct,Latency_ms_per_sample,Size_MB,Train_Params,Deploy_Params,Train_Size_MB,Deploy_Size_MB
ENERGY,288,12,3.92542576789856,4.9313788414001465,4.667503356933594,17.60425567626953,23.09041786193848,20.9536247253418,52652,3276.9204778671265,4933.37,150.54896917153812,1091.39453125,13.583653688430786,20.32000000000062,149.59156399361967,1.5399221957182616,0.7831926345825195,52652,52652,0.7831926345825195,0.7831926345825195
WEATHER,288,12,6.527004241943359,23.67851448059082,95.81764221191406,9.794678688049316,40.86252975463867,35.49402618408203,54800,2289.480312347412,3663.71,160.02365166632885,1124.66015625,13.217432737350464,19.81999999999971,149.9534773041923,1.498405253072267,0.807774543762207,54800,54800,0.807774543762207,0.807774543762207
ENERGY,288,24,4.128124713897705,5.248613834381104,4.909573078155518,26.74786758422852,34.00995635986328,31.956212997436523,53432,3392.1956462860107,5182.33,152.77214348393912,1284.18359375,20.50178837776184,20.039999999999964,97.74757026434447,2.327368416138249,0.792119026184082,53432,53432,0.792119026184082,0.792119026184082
WEATHER,288,24,8.376410484313965,29.34124755859375,101.07652282714844,16.03515625,60.93836212158203,47.255130767822266,57920,1975.3829925060272,3099.3,156.8961569355287,1432.76953125,13.357185125350952,19.90999999999985,149.05835183950654,1.516311173271762,0.843480110168457,57920,57920,0.843480110168457,0.843480110168457
ENERGY,288,72,4.559554576873779,5.878686428070068,5.505376815795898,34.46342468261719,41.89846420288086,41.7641830444336,56552,3360.1408519744878,5104.299999999999,151.90732248621686,1266.375,12.727802038192747,19.079999999999927,149.90805123104462,1.4527795957302534,0.827824592590332,56552,56552,0.827824592590332,0.827824592590332
WEATHER,288,72,10.74402904510498,32.52470397949219,107.04344177246094,24.58759307861328,79.71414947509766,66.65840148925781,70400,1337.8859236240387,2003.0200000000004,149.71530566479538,1486.578125,14.258615016937256,18.93000000000029,132.76184241957637,1.6275099893776117,0.9863042831420898,70400,70400,0.9863042831420898,0.9863042831420898
