task,lookback,horizon,MAE,RMSE,sMAPE,BASE_MAE,BASE_RMSE,BASE_sMAPE,Params,Train_Wall_Sec,Train_CPU_Sec,Avg_CPU_Usage_Pct,Peak_RAM_MB,Infer_Wall_Sec,Infer_CPU_Sec,Infer_Avg_CPU_Pct,Latency_ms_per_sample,Size_MB,Train_Params,Deploy_Params,Train_Size_MB,Deploy_Size_MB
ENERGY,96,12,3.915257215499878,4.918844223022461,4.653559684753418,17.60425567626953,23.09041786193848,20.9536247253418,52652,1495.4886891841888,2121.81,141.8807119937148,894.765625,8.50940465927124,10.849999999999907,127.50598231544346,0.9646757350948012,0.7831153869628906,52652,52652,0.7831153869628906,0.7831153869628906
WEATHER,96,12,6.596342086791992,24.723785400390625,95.81771087646484,9.794678688049316,40.86252975463867,35.49402618408203,54800,1445.4299743175507,2107.1,145.77669187985757,919.640625,8.797385454177856,11.069999999999709,125.83284042354417,0.9973229173764716,0.8076972961425781,54800,54800,0.8076972961425781,0.8076972961425781
ENERGY,96,24,4.151392936706543,5.254155158996582,4.982917785644531,26.74786758422852,34.00995635986328,31.956212997436523,53432,1159.7024648189545,1717.97,148.1388590709082,996.82421875,9.448853731155396,11.870000000000118,125.6237035489454,1.0726363640771253,0.7920417785644531,53432,53432,0.7920417785644531,0.7920417785644531
WEATHER,96,24,8.694779396057129,30.316444396972656,102.20054626464844,16.03515625,60.93836212158203,47.255130767822266,57920,742.7588613033295,1076.7400000000002,144.96494839666124,958.82421875,8.795289754867554,11.179999999999836,127.11349269434268,0.9984436093617384,0.8434028625488281,57920,57920,0.8434028625488281,0.8434028625488281
ENERGY,96,72,4.554325580596924,5.876237392425537,5.476222038269043,34.46342468261719,41.89846420288086,41.7641830444336,56552,1485.6880011558533,2105.17,141.69664144572715,1039.90625,8.774101257324219,11.069999999999707,126.166768257421,1.001495406611599,0.8277473449707031,56552,56552,0.8277473449707031,0.8277473449707031
WEATHER,96,72,10.927756309509276,33.885009765625,106.79808044433594,24.58759307861328,79.71414947509766,66.65840148925781,70400,669.4921560287476,960.36,143.44604210101647,1268.03125,8.413798093795776,10.88000000000011,129.31139871329785,0.9603696032183284,0.9862270355224608,70400,70400,0.9862270355224608,0.9862270355224608
