task,lookback,horizon,MAE,RMSE,sMAPE,BASE_MAE,BASE_RMSE,BASE_sMAPE,Params,Train_Params,Deploy_Params,Train_Size_MB,Deploy_Size_MB,Train_Wall_Sec,Train_CPU_Sec,Avg_CPU_Usage_Pct,Peak_RAM_MB,Infer_Wall_Sec,Infer_CPU_Sec,Infer_Avg_CPU_Pct,Latency_ms_per_sample,Size_MB
ENERGY,96,48,4.418440341949463,5.660864353179932,5.327906131744385,32.478816986083984,39.98159408569336,39.25626754760742,54992,54992,54992,0.8098945617675781,0.8098945617675781,1013.7256624698639,1525.0600000000002,150.44109629071733,1024.7890625,7.550448179244995,10.409999999999854,137.87261037848484,0.8594704814166186,0.8098945617675781
ENERGY,96,96,4.8101959228515625,6.215011119842529,5.833497524261475,32.22859191894531,39.820892333984375,38.940093994140625,58112,58112,58112,0.8456001281738281,0.8456001281738281,1227.702085018158,2034.31,165.7006227182478,1222.0390625,8.100204944610596,10.980000000000018,135.55212584226612,0.9271151361577882,0.8456001281738281
ENERGY,96,288,5.67894983291626,7.533522129058838,6.829754829406738,32.32420349121094,39.9288215637207,39.09806442260742,70592,70592,70592,0.9884262084960938,0.9884262084960938,1255.7674493789673,2016.5799999999995,160.58546516692144,1387.37890625,7.14270544052124,9.930000000000291,139.0229526149359,0.8358929713892616,0.9884262084960938
WEATHER,96,48,10.055340766906738,32.862884521484375,104.6193618774414,22.572481155395508,75.78553771972656,61.35727310180664,64160,64160,64160,0.9148159027099609,0.9148159027099609,753.6987793445587,1078.170000000001,143.05051693696694,1458.55078125,8.004359006881714,10.140000000000327,126.68097459499887,0.9111393291840312,0.9148159027099609
WEATHER,96,96,12.438105583190918,36.626060485839844,108.50847625732422,22.622377395629883,75.66522979736328,64.9450454711914,76640,76640,76640,1.057638168334961,1.057638168334961,614.8415238857269,895.3200000000006,145.61801134407486,1354.36328125,7.726522922515869,9.949999999999818,128.77720159225194,0.8843450752564804,1.057638168334961
WEATHER,96,288,11.596117973327637,34.974613189697266,110.24466705322266,23.04068374633789,76.4814682006836,69.54332733154297,126560,126560,126560,1.6289310455322266,1.6289310455322266,496.1606481075287,717.2300000000005,144.55600272526274,1531.8125,7.629043340682983,10.020000000000437,131.3401897531153,0.8928078807118763,1.6289310455322266
