task,lookback,horizon,MAE,RMSE,sMAPE,BASE_MAE,BASE_RMSE,BASE_sMAPE,Params,Train_Params,Deploy_Params,Train_Size_MB,Deploy_Size_MB,Train_Wall_Sec,Train_CPU_Sec,Avg_CPU_Usage_Pct,Peak_RAM_MB,Infer_Wall_Sec,Infer_CPU_Sec,Infer_Avg_CPU_Pct,Latency_ms_per_sample,Size_MB
ENERGY,288,48,4.261788845062256,5.460970878601074,5.100672245025635,32.478816986083984,39.98159408569336,39.25626754760742,54992,54992,54992,0.809971809387207,0.809971809387207,3242.672069787979,4863.56,149.9861810052844,1050.015625,12.81948447227478,18.920000000000982,147.58783819208983,1.4592469518810223,0.809971809387207
ENERGY,288,96,4.74418830871582,6.146463394165039,5.726959705352783,32.22859191894531,39.820892333984375,38.940093994140625,58112,58112,58112,0.845677375793457,0.845677375793457,2982.0880279541016,4826.419999999999,161.84699964444792,1182.58203125,12.7847421169281,18.979999999999563,148.45821547599624,1.4632874118036054,0.845677375793457
ENERGY,288,288,5.935863018035889,7.904378890991211,7.097834587097168,32.32420349121094,39.9288215637207,39.09806442260742,70592,70592,70592,0.9885034561157227,0.9885034561157227,2967.2386763095856,4725.289999999999,159.24873309743109,1334.62109375,12.31740927696228,18.520000000000437,150.35629314225272,1.4414756321781486,0.9885034561157227
WEATHER,288,48,9.235849380493164,31.853622436523438,103.47459411621094,22.572481155395508,75.78553771972656,61.35727310180664,64160,64160,64160,0.9148931503295898,0.9148931503295898,2005.8743770122528,3088.0600000000013,153.9508174285402,1494.3671875,13.430325746536255,20.18000000000029,150.2569660695297,1.5287792540166483,0.9148931503295898
WEATHER,288,96,11.296998023986816,34.012550354003906,107.72088623046875,22.622377395629883,75.66522979736328,64.9450454711914,76640,76640,76640,1.0577154159545898,1.0577154159545898,1555.535668849945,2249.130000000001,144.58877703928522,1597.80859375,20.496812105178833,19.090000000000146,93.13643459304954,2.3459782654433825,1.0577154159545898
WEATHER,288,288,11.363920211791992,34.77882385253906,110.03372955322266,23.04068374633789,76.4814682006836,69.54332733154297,126560,126560,126560,1.6290082931518555,1.6290082931518555,1426.0047557353973,2044.8199999999997,143.39503369646732,1788.75,12.679966688156128,18.93000000000029,149.29061302410267,1.4839048201470015,1.6290082931518555
