task,lookback,horizon,MAE,RMSE,sMAPE,BASE_MAE,BASE_RMSE,BASE_sMAPE,Params,Train_Wall_Sec,Train_CPU_Sec,Avg_CPU_Usage_Pct,Peak_RAM_MB,Infer_Wall_Sec,Infer_CPU_Sec,Infer_Avg_CPU_Pct,Latency_ms_per_sample,Size_MB,Train_Params,Deploy_Params,Train_Size_MB,Deploy_Size_MB
ENERGY,96,12,4.471841812133789,5.599813938140869,5.593008518218994,17.60425567626953,23.09041786193848,20.9536247253418,131073,720.2101354598999,1083.39,150.4269305107997,994.77734375,4.489633798599243,6.569999999999709,146.3371021941597,0.5089710688809934,1.5474510192871094,131073,131073,1.5474510192871094,1.5474510192871094
WEATHER,96,12,6.554710865020752,24.141088485717773,96.54966735839844,9.794678688049316,40.86252975463867,35.49402618408203,130948,629.0225870609283,811.9199999999998,129.07644601343318,994.77734375,5.148189306259155,6.580000000000155,127.81192781703284,0.5836287616210356,1.5460205078125,130948,130948,1.5460205078125,1.5460205078125
ENERGY,96,24,4.511120796203613,5.723416328430176,5.542002201080322,26.74786758422852,34.00995635986328,31.956212997436523,131073,909.1506726741792,1349.69,148.4561405019937,1001.23828125,4.770675897598267,7.059999999999945,147.98741628108104,0.5415683843340069,1.5474510192871094,131073,131073,1.5474510192871094,1.5474510192871094
WEATHER,96,24,8.639480590820312,32.463600158691406,100.15714263916016,16.03515625,60.93836212158203,47.255130767822266,130948,646.0788962841034,937.6199999999995,145.124690713887,1102.5546875,4.809351921081543,7.070000000000164,147.00525384738822,0.5459588967058171,1.5460205078125,130948,130948,1.5460205078125,1.5460205078125
ENERGY,96,72,4.533029079437256,5.859083652496338,5.49072265625,34.46342468261719,41.89846420288086,41.7641830444336,131073,1937.8184595108032,2927.26,151.05955801138248,1848.98828125,4.996245622634888,7.899999999999636,158.1187274742787,0.5702825730664179,1.5474510192871094,131073,131073,1.5474510192871094,1.5474510192871094
WEATHER,96,72,9.909253120422363,33.83282470703125,105.38290405273438,24.58759307861328,79.71414947509766,66.65840148925781,130948,684.3979890346527,1176.88,171.9584246090489,2028.21484375,5.470578193664551,8.649999999999636,158.11856980706642,0.6244239463148671,1.5460205078125,130948,130948,1.5460205078125,1.5460205078125
