task,lookback,horizon,MAE,RMSE,sMAPE,BASE_MAE,BASE_RMSE,BASE_sMAPE,Params,Train_Wall_Sec,Train_CPU_Sec,Avg_CPU_Usage_Pct,Peak_RAM_MB,Infer_Wall_Sec,Infer_CPU_Sec,Infer_Avg_CPU_Pct,Latency_ms_per_sample,Size_MB,Train_Params,Deploy_Params,Train_Size_MB,Deploy_Size_MB
ENERGY,288,12,4.371370792388916,5.441802978515625,5.424973964691162,17.60425567626953,23.09041786193848,20.9536247253418,131073,1552.3532779216766,2577.09,166.01182454101314,1305.52734375,9.714412450790403,14.210000000000036,146.27750336917032,1.1012824453905912,1.547454833984375,131073,131073,1.547454833984375,1.547454833984375
WEATHER,288,12,6.238101959228516,24.58694076538086,95.02818298339844,9.794678688049316,40.86252975463867,35.49402618408203,130948,1612.920482158661,2345.11,145.39526442502662,1605.13671875,9.408111810684204,13.890000000000327,147.6385514915578,1.0665584186242154,1.5460243225097656,130948,130948,1.5460243225097656,1.5460243225097656
ENERGY,288,24,4.388895988464356,5.596846103668213,5.297901630401611,26.74786758422852,34.00995635986328,31.956212997436523,131073,2360.0582892894745,3339.23,141.4893019869148,1389.42578125,10.195516347885132,15.0300000000002,147.4177421442504,1.1573977009745864,1.547454833984375,131073,131073,1.547454833984375,1.547454833984375
WEATHER,288,24,8.255122184753418,30.846921920776367,100.04763793945312,16.03515625,60.93836212158203,47.255130767822266,130948,1458.9176886081696,2055.5599999999995,140.89622848846503,1437.296875,10.10047483444214,15.010000000000218,148.60687488489978,1.1466085633377383,1.5460243225097656,130948,130948,1.5460243225097656,1.5460243225097656
ENERGY,288,72,4.81234073638916,6.281485557556152,5.790463447570801,34.46342468261719,41.89846420288086,41.7641830444336,131073,2515.3972725868225,3791.36,150.72609171198565,2076.63671875,10.639778137207031,15.760000000000218,148.12338938617435,1.214447909737134,1.547454833984375,131073,131073,1.547454833984375,1.547454833984375
WEATHER,288,72,9.929624557495117,33.60649871826172,104.70813751220703,24.58759307861328,79.71414947509766,66.65840148925781,130948,1307.1678352355957,1991.9900000000007,152.38976559126985,2076.63671875,10.501253843307495,15.660000000000764,149.12504957663666,1.198636439140223,1.5460243225097656,130948,130948,1.5460243225097656,1.5460243225097656
